"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue USD Mil","X2007.12",47158000000,"2007","12","47,158",47158
"2","Gross Margin %","X2007.12",NA,"2007","12","",NA
"3","Operating Income USD Mil","X2007.12",5762000000,"2007","12","5,762",5762
"4","Operating Margin %","X2007.12",0.122,"2007","12","12.2",12.2
"5","Net Income USD Mil","X2007.12",4317000000,"2007","12","4,317",4317
"6","Earnings Per Share USD","X2007.12",5.48,"2007","12","5.48",5.48
"7","Dividends USD","X2007.12",0.74,"2007","12","0.74",0.74
"8","Payout Ratio % *","X2007.12",0.136,"2007","12","13.6",13.6
"9","Shares Mil","X2007.12",762000000,"2007","12","762",762
"10","Book Value Per Share * USD","X2007.12",48.24,"2007","12","48.24",48.24
"11","Operating Cash Flow USD Mil","X2007.12",1187000000,"2007","12","1,187",1187
"12","Cap Spending USD Mil","X2007.12",NA,"2007","12","",NA
"13","Free Cash Flow USD Mil","X2007.12",1187000000,"2007","12","1,187",1187
"14","Free Cash Flow Per Share * USD","X2007.12",1.56,"2007","12","1.56",1.56
"15","Working Capital USD Mil","X2007.12",NA,"2007","12","",NA
"16","Revenue","X2007.12",100,"2007","12","100.00",100
"17","COGS","X2007.12",NA,"2007","12","",NA
"18","Gross Margin","X2007.12",NA,"2007","12","",NA
"19","SG&A","X2007.12",15.12,"2007","12","15.12",15.12
"20","R&D","X2007.12",NA,"2007","12","",NA
"21","Other","X2007.12",72.67,"2007","12","72.67",72.67
"22","Operating Margin","X2007.12",12.22,"2007","12","12.22",12.22
"23","Net Int Inc & Other","X2007.12",NA,"2007","12","",NA
"24","EBT Margin","X2007.12",12.22,"2007","12","12.22",12.22
"25","Tax Rate %","X2007.12",0.2913,"2007","12","29.13",29.13
"26","Net Margin %","X2007.12",0.0789,"2007","12","7.89",7.89
"27","Asset Turnover (Average)","X2007.12",0.1,"2007","12","0.10",0.1
"28","Return on Assets %","X2007.12",0.0077,"2007","12","0.77",0.77
"29","Financial Leverage (Average)","X2007.12",15.88,"2007","12","15.88",15.88
"30","Return on Equity %","X2007.12",0.1212,"2007","12","12.12",12.12
"31","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"32","Interest Coverage","X2007.12",NA,"2007","12","",NA
"33","Year over Year","X2007.12",9.53,"2007","12","9.53",9.53
"34","3-Year Average","X2007.12",10.76,"2007","12","10.76",10.76
"35","5-Year Average","X2007.12",9.84,"2007","12","9.84",9.84
"36","10-Year Average","X2007.12",NA,"2007","12","",NA
"37","Year over Year","X2007.12",43.07,"2007","12","43.07",43.07
"38","3-Year Average","X2007.12",16.91,"2007","12","16.91",16.91
"39","5-Year Average","X2007.12",29.3,"2007","12","29.30",29.3
"40","10-Year Average","X2007.12",NA,"2007","12","",NA
"41","Year over Year","X2007.12",-31.4,"2007","12","-31.40",-31.4
"42","3-Year Average","X2007.12",16.11,"2007","12","16.11",16.11
"43","5-Year Average","X2007.12",21.88,"2007","12","21.88",21.88
"44","10-Year Average","X2007.12",NA,"2007","12","",NA
"45","Year over Year","X2007.12",-31.41,"2007","12","-31.41",-31.41
"46","3-Year Average","X2007.12",14.51,"2007","12","14.51",14.51
"47","5-Year Average","X2007.12",20.03,"2007","12","20.03",20.03
"48","10-Year Average","X2007.12",NA,"2007","12","",NA
