"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue AUD Mil","X2007.09",11622000000,"2007","09","11,622",11622
"2","Gross Margin %","X2007.09",NA,"2007","09","",NA
"3","Operating Income AUD Mil","X2007.09",5865000000,"2007","09","5,865",5865
"4","Operating Margin %","X2007.09",0.505,"2007","09","50.5",50.5
"5","Net Income AUD Mil","X2007.09",4180000000,"2007","09","4,180",4180
"6","Earnings Per Share AUD","X2007.09",2.18,"2007","09","2.18",2.18
"7","Dividends AUD","X2007.09",1.87,"2007","09","1.87",1.87
"8","Payout Ratio % *","X2007.09",0.859,"2007","09","85.9",85.9
"9","Shares Mil","X2007.09",1898000000,"2007","09","1,898",1898
"10","Book Value Per Share * AUD","X2007.09",10.73,"2007","09","10.73",10.73
"11","Operating Cash Flow AUD Mil","X2007.09",-4037000000,"2007","09","-4,037",-4037
"12","Cap Spending AUD Mil","X2007.09",-411000000,"2007","09","-411",-411
"13","Free Cash Flow AUD Mil","X2007.09",-4448000000,"2007","09","-4,448",-4448
"14","Free Cash Flow Per Share * AUD","X2007.09",-4.45,"2007","09","-4.45",-4.45
"15","Working Capital AUD Mil","X2007.09",NA,"2007","09","",NA
"16","Revenue","X2007.09",100,"2007","09","100.00",100
"17","COGS","X2007.09",NA,"2007","09","",NA
"18","Gross Margin","X2007.09",NA,"2007","09","",NA
"19","SG&A","X2007.09",30.24,"2007","09","30.24",30.24
"20","R&D","X2007.09",NA,"2007","09","",NA
"21","Other","X2007.09",14.41,"2007","09","14.41",14.41
"22","Operating Margin","X2007.09",50.46,"2007","09","50.46",50.46
"23","Net Int Inc & Other","X2007.09",-4.88,"2007","09","-4.88",-4.88
"24","EBT Margin","X2007.09",50.46,"2007","09","50.46",50.46
"25","Tax Rate %","X2007.09",0.2861,"2007","09","28.61",28.61
"26","Net Margin %","X2007.09",0.3565,"2007","09","35.65",35.65
"27","Asset Turnover (Average)","X2007.09",0.03,"2007","09","0.03",0.03
"28","Return on Assets %","X2007.09",0.0114,"2007","09","1.14",1.14
"29","Financial Leverage (Average)","X2007.09",18.57,"2007","09","18.57",18.57
"30","Return on Equity %","X2007.09",0.2064,"2007","09","20.64",20.64
"31","Return on Invested Capital %","X2007.09",NA,"2007","09","",NA
"32","Interest Coverage","X2007.09",NA,"2007","09","",NA
"33","Year over Year","X2007.09",16.85,"2007","09","16.85",16.85
"34","3-Year Average","X2007.09",12.17,"2007","09","12.17",12.17
"35","5-Year Average","X2007.09",10.71,"2007","09","10.71",10.71
"36","10-Year Average","X2007.09",7.15,"2007","09","7.15",7.15
"37","Year over Year","X2007.09",12.49,"2007","09","12.49",12.49
"38","3-Year Average","X2007.09",13.73,"2007","09","13.73",13.73
"39","5-Year Average","X2007.09",12.72,"2007","09","12.72",12.72
"40","10-Year Average","X2007.09",14.04,"2007","09","14.04",14.04
"41","Year over Year","X2007.09",13.34,"2007","09","13.34",13.34
"42","3-Year Average","X2007.09",14.09,"2007","09","14.09",14.09
"43","5-Year Average","X2007.09",12.48,"2007","09","12.48",12.48
"44","10-Year Average","X2007.09",15.1,"2007","09","15.10",15.1
"45","Year over Year","X2007.09",12.53,"2007","09","12.53",12.53
"46","3-Year Average","X2007.09",13.4,"2007","09","13.40",13.4
"47","5-Year Average","X2007.09",8.29,"2007","09","8.29",8.29
"48","10-Year Average","X2007.09",12.31,"2007","09","12.31",12.31
"49","Operating Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"50","Free Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"51","Cap Ex as a % of Sales","X2007.09",0.0354,"2007","09","3.54",3.54
"52","Free Cash Flow/Sales %","X2007.09",-0.3827,"2007","09","-38.27",-38.27
"53","Free Cash Flow/Net Income","X2007.09",-1.06,"2007","09","-1.06",-1.06
"54","Cash & Short-Term Investments","X2007.09",6.43,"2007","09","6.43",6.43
"55","Accounts Receivable","X2007.09",NA,"2007","09","",NA
"56","Inventory","X2007.09",NA,"2007","09","",NA
"57","Other Current Assets","X2007.09",NA,"2007","09","",NA
"58","Total Current Assets","X2007.09",NA,"2007","09","",NA
"59","Net PP&E","X2007.09",0.38,"2007","09","0.38",0.38
"60","Intangibles","X2007.09",0.94,"2007","09","0.94",0.94
"61","Other Long-Term Assets","X2007.09",NA,"2007","09","",NA
"62","Total Assets","X2007.09",100,"2007","09","100.00",100
"63","Accounts Payable","X2007.09",2.68,"2007","09","2.68",2.68
"64","Short-Term Debt","X2007.09",22.06,"2007","09","22.06",22.06
"65","Taxes Payable","X2007.09",NA,"2007","09","",NA
"66","Accrued Liabilities","X2007.09",NA,"2007","09","",NA
