"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue EUR Mil","X2006.12",99905000000,"2006","12","99,905",99905
"2","Gross Margin %","X2006.12",NA,"2006","12","",NA
"3","Operating Income EUR Mil","X2006.12",16082000000,"2006","12","16,082",16082
"4","Operating Margin %","X2006.12",0.161,"2006","12","16.1",16.1
"5","Net Income EUR Mil","X2006.12",7021000000,"2006","12","7,021",7021
"6","Earnings Per Share EUR","X2006.12",16.78,"2006","12","16.78",16.78
"7","Dividends EUR","X2006.12",NA,"2006","12","",NA
"8","Payout Ratio % *","X2006.12",NA,"2006","12","",NA
"9","Shares Mil","X2006.12",418000000,"2006","12","418",418
"10","Book Value Per Share * EUR","X2006.12",NA,"2006","12","",NA
"11","Operating Cash Flow EUR Mil","X2006.12",20265000000,"2006","12","20,265",20265
"12","Cap Spending EUR Mil","X2006.12",-1136000000,"2006","12","-1,136",-1136
"13","Free Cash Flow EUR Mil","X2006.12",19129000000,"2006","12","19,129",19129
"14","Free Cash Flow Per Share * EUR","X2006.12",NA,"2006","12","",NA
"15","Working Capital EUR Mil","X2006.12",NA,"2006","12","",NA
"16","Revenue","X2006.12",100,"2006","12","100.00",100
"17","COGS","X2006.12",NA,"2006","12","",NA
"18","Gross Margin","X2006.12",NA,"2006","12","",NA
"19","SG&A","X2006.12",NA,"2006","12","",NA
"20","R&D","X2006.12",NA,"2006","12","",NA
"21","Other","X2006.12",83.9,"2006","12","83.90",83.9
"22","Operating Margin","X2006.12",16.1,"2006","12","16.10",16.1
"23","Net Int Inc & Other","X2006.12",-5.76,"2006","12","-5.76",-5.76
"24","EBT Margin","X2006.12",10.33,"2006","12","10.33",10.33
"25","Tax Rate %","X2006.12",0.195,"2006","12","19.50",19.5
"26","Net Margin %","X2006.12",0.0703,"2006","12","7.03",7.03
"27","Asset Turnover (Average)","X2006.12",0.1,"2006","12","0.10",0.1
"28","Return on Assets %","X2006.12",0.0068,"2006","12","0.68",0.68
"29","Financial Leverage (Average)","X2006.12",20.86,"2006","12","20.86",20.86
"30","Return on Equity %","X2006.12",0.1561,"2006","12","15.61",15.61
"31","Return on Invested Capital %","X2006.12",NA,"2006","12","",NA
"32","Interest Coverage","X2006.12",NA,"2006","12","",NA
"33","Year over Year","X2006.12",NA,"2006","12","",NA
"34","3-Year Average","X2006.12",NA,"2006","12","",NA
"35","5-Year Average","X2006.12",NA,"2006","12","",NA
"36","10-Year Average","X2006.12",NA,"2006","12","",NA
"37","Year over Year","X2006.12",NA,"2006","12","",NA
"38","3-Year Average","X2006.12",NA,"2006","12","",NA
"39","5-Year Average","X2006.12",NA,"2006","12","",NA
"40","10-Year Average","X2006.12",NA,"2006","12","",NA
"41","Year over Year","X2006.12",NA,"2006","12","",NA
"42","3-Year Average","X2006.12",NA,"2006","12","",NA
"43","5-Year Average","X2006.12",NA,"2006","12","",NA
"44","10-Year Average","X2006.12",NA,"2006","12","",NA
"45","Year over Year","X2006.12",NA,"2006","12","",NA
"46","3-Year Average","X2006.12",NA,"2006","12","",NA
"47","5-Year Average","X2006.12",NA,"2006","12","",NA
"48","10-Year Average","X2006.12",NA,"2006","12","",NA
"49","Operating Cash Flow Growth % YOY","X2006.12",NA,"2006","12","",NA
"50","Free Cash Flow Growth % YOY","X2006.12",NA,"2006","12","",NA
"51","Cap Ex as a % of Sales","X2006.12",0.0114,"2006","12","1.14",1.14
"52","Free Cash Flow/Sales %","X2006.12",0.1915,"2006","12","19.15",19.15
"53","Free Cash Flow/Net Income","X2006.12",2.72,"2006","12","2.72",2.72
"54","Cash & Short-Term Investments","X2006.12",3.14,"2006","12","3.14",3.14
"55","Accounts Receivable","X2006.12",NA,"2006","12","",NA
"56","Inventory","X2006.12",NA,"2006","12","",NA
"57","Other Current Assets","X2006.12",NA,"2006","12","",NA
"58","Total Current Assets","X2006.12",NA,"2006","12","",NA
"59","Net PP&E","X2006.12",0.71,"2006","12","0.71",0.71
"60","Intangibles","X2006.12",1.23,"2006","12","1.23",1.23
"61","Other Long-Term Assets","X2006.12",NA,"2006","12","",NA
"62","Total Assets","X2006.12",100,"2006","12","100.00",100
"63","Accounts Payable","X2006.12",NA,"2006","12","",NA
"64","Short-Term Debt","X2006.12",NA,"2006","12","",NA
"65","Taxes Payable","X2006.12",NA,"2006","12","",NA
"66","Accrued Liabilities","X2006.12",NA,"2006","12","",NA
"67","Other Short-Term Liabilities","X2006.12",NA,"2006","12","",NA
"68","Total Current Liabilities","X2006.12",NA,"2006","12","",NA
"69","Long-Term Debt","X2006.12",1.55,"2006","12","1.55",1.55
"70","Other Long-Term Liabilities","X2006.12",NA,"2006","12","",NA
"71","Total Liabilities","X2006.12",95.21,"2006","12","95.21",95.21
"72","Total Stockholders' Equity","X2006.12",4.79,"2006","12","4.79",4.79
"73","Total Liabilities & Equity","X2006.12",100,"2006","12","100.00",100
"74","Current Ratio","X2006.12",NA,"2006","12","",NA
"75","Quick Ratio","X2006.12",NA,"2006","12","",NA
"76","Financial Leverage","X2006.12",20.86,"2006","12","20.86",20.86
"77","Debt/Equity","X2006.12",0.32,"2006","12","0.32",0.32
"78","Days Sales Outstanding","X2006.12",NA,"2006","12","",NA
"79","Days Inventory","X2006.12",NA,"2006","12","",NA
"80","Payables Period","X2006.12",NA,"2006","12","",NA
"81","Cash Conversion Cycle","X2006.12",NA,"2006","12","",NA
"82","Receivables Turnover","X2006.12",NA,"2006","12","",NA
"83","Inventory Turnover","X2006.12",NA,"2006","12","",NA
"84","Fixed Assets Turnover","X2006.12",15.1,"2006","12","15.10",15.1
"85","Asset Turnover","X2006.12",0.1,"2006","12","0.10",0.1
"86","Revenue EUR Mil","X2007.12",92314000000,"2007","12","92,314",92314
"87","Gross Margin %","X2007.12",NA,"2007","12","",NA
"88","Operating Income EUR Mil","X2007.12",10563000000,"2007","12","10,563",10563
"89","Operating Margin %","X2007.12",0.114,"2007","12","11.4",11.4
"90","Net Income EUR Mil","X2007.12",7966000000,"2007","12","7,966",7966
"91","Earnings Per Share EUR","X2007.12",17.71,"2007","12","17.71",17.71
"92","Dividends EUR","X2007.12",NA,"2007","12","",NA
"93","Payout Ratio % *","X2007.12",NA,"2007","12","",NA
"94","Shares Mil","X2007.12",450000000,"2007","12","450",450
"95","Book Value Per Share * EUR","X2007.12",NA,"2007","12","",NA
"96","Operating Cash Flow EUR Mil","X2007.12",12706000000,"2007","12","12,706",12706
"97","Cap Spending EUR Mil","X2007.12",-832000000,"2007","12","-832",-832
"98","Free Cash Flow EUR Mil","X2007.12",11874000000,"2007","12","11,874",11874
"99","Free Cash Flow Per Share * EUR","X2007.12",NA,"2007","12","",NA
"100","Working Capital EUR Mil","X2007.12",NA,"2007","12","",NA
"101","Revenue","X2007.12",100,"2007","12","100.00",100
"102","COGS","X2007.12",NA,"2007","12","",NA
"103","Gross Margin","X2007.12",NA,"2007","12","",NA
"104","SG&A","X2007.12",2.51,"2007","12","2.51",2.51
"105","R&D","X2007.12",NA,"2007","12","",NA
"106","Other","X2007.12",86.05,"2007","12","86.05",86.05
"107","Operating Margin","X2007.12",11.44,"2007","12","11.44",11.44
"108","Net Int Inc & Other","X2007.12",NA,"2007","12","",NA
"109","EBT Margin","X2007.12",11.44,"2007","12","11.44",11.44
"110","Tax Rate %","X2007.12",0.2467,"2007","12","24.67",24.67
"111","Net Margin %","X2007.12",0.0775,"2007","12","7.75",7.75
"112","Asset Turnover (Average)","X2007.12",0.1,"2007","12","0.10",0.1
"113","Return on Assets %","X2007.12",0.0075,"2007","12","0.75",0.75
"114","Financial Leverage (Average)","X2007.12",22.22,"2007","12","22.22",22.22
"115","Return on Equity %","X2007.12",0.1622,"2007","12","16.22",16.22
"116","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"117","Interest Coverage","X2007.12",NA,"2007","12","",NA
"118","Year over Year","X2007.12",2.83,"2007","12","2.83",2.83
"119","3-Year Average","X2007.12",2.42,"2007","12","2.42",2.42
"120","5-Year Average","X2007.12",-0.94,"2007","12","-0.94",-0.94
"121","10-Year Average","X2007.12",NA,"2007","12","",NA
"122","Year over Year","X2007.12",13.42,"2007","12","13.42",13.42
"123","3-Year Average","X2007.12",19.76,"2007","12","19.76",19.76
"124","5-Year Average","X2007.12",14.09,"2007","12","14.09",14.09
"125","10-Year Average","X2007.12",NA,"2007","12","",NA
"126","Year over Year","X2007.12",13.46,"2007","12","13.46",13.46
"127","3-Year Average","X2007.12",53.58,"2007","12","53.58",53.58
"128","5-Year Average","X2007.12",NA,"2007","12","",NA
"129","10-Year Average","X2007.12",NA,"2007","12","",NA
"130","Year over Year","X2007.12",5.54,"2007","12","5.54",5.54
"131","3-Year Average","X2007.12",43.61,"2007","12","43.61",43.61
"132","5-Year Average","X2007.12",NA,"2007","12","",NA
"133","10-Year Average","X2007.12",NA,"2007","12","",NA
"134","Operating Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"135","Free Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"136","Cap Ex as a % of Sales","X2007.12",0.009,"2007","12","0.90",0.9
"137","Free Cash Flow/Sales %","X2007.12",0.1286,"2007","12","12.86",12.86
"138","Free Cash Flow/Net Income","X2007.12",1.49,"2007","12","1.49",1.49
"139","Cash & Short-Term Investments","X2007.12",2.95,"2007","12","2.95",2.95
"140","Accounts Receivable","X2007.12",NA,"2007","12","",NA
"141","Inventory","X2007.12",NA,"2007","12","",NA
"142","Other Current Assets","X2007.12",NA,"2007","12","",NA
"143","Total Current Assets","X2007.12",NA,"2007","12","",NA
