"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue AUD Mil","X2007.09",23236000000,"2007","09","23,236",23236
"2","Gross Margin %","X2007.09",NA,"2007","09","",NA
"3","Operating Income AUD Mil","X2007.09",7827000000,"2007","09","7,827",7827
"4","Operating Margin %","X2007.09",0.337,"2007","09","33.7",33.7
"5","Net Income AUD Mil","X2007.09",4578000000,"2007","09","4,578",4578
"6","Earnings Per Share AUD","X2007.09",2.65,"2007","09","2.65",2.65
"7","Dividends AUD","X2007.09",2.34,"2007","09","2.34",2.34
"8","Payout Ratio % *","X2007.09",0.852,"2007","09","85.2",85.2
"9","Shares Mil","X2007.09",1623000000,"2007","09","1,623",1623
"10","Book Value Per Share * AUD","X2007.09",14.52,"2007","09","14.52",14.52
"11","Operating Cash Flow AUD Mil","X2007.09",-14180000000,"2007","09","-14,180",-14180
"12","Cap Spending AUD Mil","X2007.09",-789000000,"2007","09","-789",-789
"13","Free Cash Flow AUD Mil","X2007.09",-14969000000,"2007","09","-14,969",-14969
"14","Free Cash Flow Per Share * AUD","X2007.09",-7.11,"2007","09","-7.11",-7.11
"15","Working Capital AUD Mil","X2007.09",NA,"2007","09","",NA
"16","Revenue","X2007.09",100,"2007","09","100.00",100
"17","COGS","X2007.09",NA,"2007","09","",NA
"18","Gross Margin","X2007.09",NA,"2007","09","",NA
"19","SG&A","X2007.09",21.74,"2007","09","21.74",21.74
"20","R&D","X2007.09",NA,"2007","09","",NA
"21","Other","X2007.09",41.17,"2007","09","41.17",41.17
"22","Operating Margin","X2007.09",33.68,"2007","09","33.68",33.68
"23","Net Int Inc & Other","X2007.09",-3.4,"2007","09","-3.40",-3.4
"24","EBT Margin","X2007.09",33.68,"2007","09","33.68",33.68
"25","Tax Rate %","X2007.09",0.2881,"2007","09","28.81",28.81
"26","Net Margin %","X2007.09",0.1848,"2007","09","18.48",18.48
"27","Asset Turnover (Average)","X2007.09",0.04,"2007","09","0.04",0.04
"28","Return on Assets %","X2007.09",0.0082,"2007","09","0.82",0.82
"29","Financial Leverage (Average)","X2007.09",22.37,"2007","09","22.37",22.37
"30","Return on Equity %","X2007.09",0.1763,"2007","09","17.63",17.63
"31","Return on Invested Capital %","X2007.09",NA,"2007","09","",NA
"32","Interest Coverage","X2007.09",NA,"2007","09","",NA
"33","Year over Year","X2007.09",8.86,"2007","09","8.86",8.86
"34","3-Year Average","X2007.09",18.7,"2007","09","18.70",18.7
"35","5-Year Average","X2007.09",9.98,"2007","09","9.98",9.98
"36","10-Year Average","X2007.09",10.46,"2007","09","10.46",10.46
"37","Year over Year","X2007.09",7.59,"2007","09","7.59",7.59
"38","3-Year Average","X2007.09",18.19,"2007","09","18.19",18.19
"39","5-Year Average","X2007.09",12.51,"2007","09","12.51",12.51
"40","10-Year Average","X2007.09",8.97,"2007","09","8.97",8.97
"41","Year over Year","X2007.09",4.24,"2007","09","4.24",4.24
"42","3-Year Average","X2007.09",12.95,"2007","09","12.95",12.95
"43","5-Year Average","X2007.09",6.3,"2007","09","6.30",6.3
"44","10-Year Average","X2007.09",7.49,"2007","09","7.49",7.49
"45","Year over Year","X2007.09",2.52,"2007","09","2.52",2.52
"46","3-Year Average","X2007.09",11.03,"2007","09","11.03",11.03
"47","5-Year Average","X2007.09",5.8,"2007","09","5.80",5.8
"48","10-Year Average","X2007.09",5.88,"2007","09","5.88",5.88
"49","Operating Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"50","Free Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"51","Cap Ex as a % of Sales","X2007.09",0.034,"2007","09","3.40",3.4
"52","Free Cash Flow/Sales %","X2007.09",-0.6442,"2007","09","-64.42",-64.42
"53","Free Cash Flow/Net Income","X2007.09",-3.27,"2007","09","-3.27",-3.27
"54","Cash & Short-Term Investments","X2007.09",6.72,"2007","09","6.72",6.72
"55","Accounts Receivable","X2007.09",NA,"2007","09","",NA
"56","Inventory","X2007.09",NA,"2007","09","",NA
"57","Other Current Assets","X2007.09",NA,"2007","09","",NA
"58","Total Current Assets","X2007.09",NA,"2007","09","",NA
"59","Net PP&E","X2007.09",0.35,"2007","09","0.35",0.35
"60","Intangibles","X2007.09",0.95,"2007","09","0.95",0.95
"61","Other Long-Term Assets","X2007.09",NA,"2007","09","",NA
"62","Total Assets","X2007.09",100,"2007","09","100.00",100
"63","Accounts Payable","X2007.09",NA,"2007","09","",NA
"64","Short-Term Debt","X2007.09",31.31,"2007","09","31.31",31.31
"65","Taxes Payable","X2007.09",NA,"2007","09","",NA
"66","Accrued Liabilities","X2007.09",NA,"2007","09","",NA
"67","Other Short-Term Liabilities","X2007.09",NA,"2007","09","",NA
"68","Total Current Liabilities","X2007.09",NA,"2007","09","",NA
"69","Long-Term Debt","X2007.09",NA,"2007","09","",NA
"70","Other Long-Term Liabilities","X2007.09",NA,"2007","09","",NA
"71","Total Liabilities","X2007.09",94.76,"2007","09","94.76",94.76
"72","Total Stockholders' Equity","X2007.09",5.24,"2007","09","5.24",5.24
"73","Total Liabilities & Equity","X2007.09",100,"2007","09","100.00",100
"74","Current Ratio","X2007.09",NA,"2007","09","",NA
"75","Quick Ratio","X2007.09",NA,"2007","09","",NA
"76","Financial Leverage","X2007.09",22.37,"2007","09","22.37",22.37
"77","Debt/Equity","X2007.09",NA,"2007","09","",NA
"78","Days Sales Outstanding","X2007.09",NA,"2007","09","",NA
"79","Days Inventory","X2007.09",NA,"2007","09","",NA
"80","Payables Period","X2007.09",NA,"2007","09","",NA
"81","Cash Conversion Cycle","X2007.09",NA,"2007","09","",NA
"82","Receivables Turnover","X2007.09",NA,"2007","09","",NA
"83","Inventory Turnover","X2007.09",NA,"2007","09","",NA
"84","Fixed Assets Turnover","X2007.09",12.12,"2007","09","12.12",12.12
"85","Asset Turnover","X2007.09",0.04,"2007","09","0.04",0.04
"86","Revenue AUD Mil","X2008.09",24753000000,"2008","09","24,753",24753
"87","Gross Margin %","X2008.09",NA,"2008","09","",NA
"88","Operating Income AUD Mil","X2008.09",3147000000,"2008","09","3,147",3147
"89","Operating Margin %","X2008.09",0.127,"2008","09","12.7",12.7
"90","Net Income AUD Mil","X2008.09",4536000000,"2008","09","4,536",4536
"91","Earnings Per Share AUD","X2008.09",2.57,"2008","09","2.57",2.57
"92","Dividends AUD","X2008.09",2.7,"2008","09","2.70",2.7
"93","Payout Ratio % *","X2008.09",1.051,"2008","09","105.1",105.1
"94","Shares Mil","X2008.09",1642000000,"2008","09","1,642",1642
"95","Book Value Per Share * AUD","X2008.09",16.53,"2008","09","16.53",16.53
"96","Operating Cash Flow AUD Mil","X2008.09",9203000000,"2008","09","9,203",9203
"97","Cap Spending AUD Mil","X2008.09",-865000000,"2008","09","-865",-865
"98","Free Cash Flow AUD Mil","X2008.09",8338000000,"2008","09","8,338",8338
"99","Free Cash Flow Per Share * AUD","X2008.09",5.08,"2008","09","5.08",5.08
"100","Working Capital AUD Mil","X2008.09",NA,"2008","09","",NA
"101","Revenue","X2008.09",100,"2008","09","100.00",100
"102","COGS","X2008.09",NA,"2008","09","",NA
"103","Gross Margin","X2008.09",NA,"2008","09","",NA
"104","SG&A","X2008.09",19.29,"2008","09","19.29",19.29
"105","R&D","X2008.09",NA,"2008","09","",NA
"106","Other","X2008.09",57.08,"2008","09","57.08",57.08
"107","Operating Margin","X2008.09",12.71,"2008","09","12.71",12.71
"108","Net Int Inc & Other","X2008.09",-10.92,"2008","09","-10.92",-10.92
"109","EBT Margin","X2008.09",12.71,"2008","09","12.71",12.71
"110","Tax Rate %","X2008.09",0.0124,"2008","09","1.24",1.24
"111","Net Margin %","X2008.09",0.1706,"2008","09","17.06",17.06
"112","Asset Turnover (Average)","X2008.09",0.04,"2008","09","0.04",0.04
"113","Return on Assets %","X2008.09",0.0069,"2008","09","0.69",0.69
"114","Financial Leverage (Average)","X2008.09",23.39,"2008","09","23.39",23.39
"115","Return on Equity %","X2008.09",0.1584,"2008","09","15.84",15.84
"116","Return on Invested Capital %","X2008.09",NA,"2008","09","",NA
"117","Interest Coverage","X2008.09",NA,"2008","09","",NA
"118","Year over Year","X2008.09",6.53,"2008","09","6.53",6.53
"119","3-Year Average","X2008.09",1.62,"2008","09","1.62",1.62
"120","5-Year Average","X2008.09",14.26,"2008","09","14.26",14.26
"121","10-Year Average","X2008.09",9.7,"2008","09","9.70",9.7
"122","Year over Year","X2008.09",-59.79,"2008","09","-59.79",-59.79
"123","3-Year Average","X2008.09",-21.63,"2008","09","-21.63",-21.63
"124","5-Year Average","X2008.09",-10.98,"2008","09","-10.98",-10.98
"125","10-Year Average","X2008.09",0.57,"2008","09","0.57",0.57
"126","Year over Year","X2008.09",-0.92,"2008","09","-0.92",-0.92
"127","3-Year Average","X2008.09",3.16,"2008","09","3.16",3.16
"128","5-Year Average","X2008.09",2.78,"2008","09","2.78",2.78
"129","10-Year Average","X2008.09",8.46,"2008","09","8.46",8.46
"130","Year over Year","X2008.09",-2.79,"2008","09","-2.79",-2.79
"131","3-Year Average","X2008.09",1.69,"2008","09","1.69",1.69
"132","5-Year Average","X2008.09",1.38,"2008","09","1.38",1.38
"133","10-Year Average","X2008.09",6.58,"2008","09","6.58",6.58
"134","Operating Cash Flow Growth % YOY","X2008.09",NA,"2008","09","",NA
"135","Free Cash Flow Growth % YOY","X2008.09",NA,"2008","09","",NA
"136","Cap Ex as a % of Sales","X2008.09",0.0349,"2008","09","3.49",3.49
"137","Free Cash Flow/Sales %","X2008.09",0.3368,"2008","09","33.68",33.68
"138","Free Cash Flow/Net Income","X2008.09",1.84,"2008","09","1.84",1.84
"139","Cash & Short-Term Investments","X2008.09",9.93,"2008","09","9.93",9.93
"140","Accounts Receivable","X2008.09",NA,"2008","09","",NA
"141","Inventory","X2008.09",NA,"2008","09","",NA
"142","Other Current Assets","X2008.09",NA,"2008","09","",NA
"143","Total Current Assets","X2008.09",NA,"2008","09","",NA
"144","Net PP&E","X2008.09",0.25,"2008","09","0.25",0.25
"145","Intangibles","X2008.09",0.96,"2008","09","0.96",0.96
"146","Other Long-Term Assets","X2008.09",NA,"2008","09","",NA
"147","Total Assets","X2008.09",100,"2008","09","100.00",100
"148","Accounts Payable","X2008.09",NA,"2008","09","",NA
"149","Short-Term Debt","X2008.09",29.22,"2008","09","29.22",29.22
"150","Taxes Payable","X2008.09",NA,"2008","09","",NA
"151","Accrued Liabilities","X2008.09",NA,"2008","09","",NA
"152","Other Short-Term Liabilities","X2008.09",NA,"2008","09","",NA
"153","Total Current Liabilities","X2008.09",NA,"2008","09","",NA
"154","Long-Term Debt","X2008.09",NA,"2008","09","",NA
"155","Other Long-Term Liabilities","X2008.09",NA,"2008","09","",NA
"156","Total Liabilities","X2008.09",95.01,"2008","09","95.01",95.01
"157","Total Stockholders' Equity","X2008.09",4.99,"2008","09","4.99",4.99
"158","Total Liabilities & Equity","X2008.09",100,"2008","09","100.00",100
"159","Current Ratio","X2008.09",NA,"2008","09","",NA
"160","Quick Ratio","X2008.09",NA,"2008","09","",NA
"161","Financial Leverage","X2008.09",23.39,"2008","09","23.39",23.39
"162","Debt/Equity","X2008.09",NA,"2008","09","",NA
"163","Days Sales Outstanding","X2008.09",NA,"2008","09","",NA
"164","Days Inventory","X2008.09",NA,"2008","09","",NA
"165","Payables Period","X2008.09",NA,"2008","09","",NA
"166","Cash Conversion Cycle","X2008.09",NA,"2008","09","",NA
"167","Receivables Turnover","X2008.09",NA,"2008","09","",NA
"168","Inventory Turnover","X2008.09",NA,"2008","09","",NA
"169","Fixed Assets Turnover","X2008.09",13.68,"2008","09","13.68",13.68
"170","Asset Turnover","X2008.09",0.04,"2008","09","0.04",0.04
"171","Revenue AUD Mil","X2009.09",16777000000,"2009","09","16,777",16777
"172","Gross Margin %","X2009.09",NA,"2009","09","",NA
"173","Operating Income AUD Mil","X2009.09",4983000000,"2009","09","4,983",4983
"174","Operating Margin %","X2009.09",0.297,"2009","09","29.7",29.7
"175","Net Income AUD Mil","X2009.09",2589000000,"2009","09","2,589",2589
"176","Earnings Per Share AUD","X2009.09",1.21,"2009","09","1.21",1.21
"177","Dividends AUD","X2009.09",2.39,"2009","09","2.39",2.39
"178","Payout Ratio % *","X2009.09",1.983,"2009","09","198.3",198.3
"179","Shares Mil","X2009.09",1918000000,"2009","09","1,918",1918
"180","Book Value Per Share * AUD","X2009.09",15.84,"2009","09","15.84",15.84
"181","Operating Cash Flow AUD Mil","X2009.09",12701000000,"2009","09","12,701",12701
"182","Cap Spending AUD Mil","X2009.09",-951000000,"2009","09","-951",-951
"183","Free Cash Flow AUD Mil","X2009.09",11750000000,"2009","09","11,750",11750
"184","Free Cash Flow Per Share * AUD","X2009.09",6.13,"2009","09","6.13",6.13
"185","Working Capital AUD Mil","X2009.09",NA,"2009","09","",NA
"186","Revenue","X2009.09",100,"2009","09","100.00",100
"187","COGS","X2009.09",NA,"2009","09","",NA
"188","Gross Margin","X2009.09",NA,"2009","09","",NA
"189","SG&A","X2009.09",33,"2009","09","33.00",33
"190","R&D","X2009.09",NA,"2009","09","",NA
"191","Other","X2009.09",14.56,"2009","09","14.56",14.56
"192","Operating Margin","X2009.09",29.7,"2009","09","29.70",29.7
"193","Net Int Inc & Other","X2009.09",-22.74,"2009","09","-22.74",-22.74
"194","EBT Margin","X2009.09",29.7,"2009","09","29.70",29.7
"195","Tax Rate %","X2009.09",0.4804,"2009","09","48.04",48.04
"196","Net Margin %","X2009.09",0.138,"2009","09","13.80",13.8
"197","Asset Turnover (Average)","X2009.09",0.03,"2009","09","0.03",0.03
"198","Return on Assets %","X2009.09",0.0035,"2009","09","0.35",0.35
"199","Financial Leverage (Average)","X2009.09",19.88,"2009","09","19.88",19.88
"200","Return on Equity %","X2009.09",0.076,"2009","09","7.60",7.6
"201","Return on Invested Capital %","X2009.09",NA,"2009","09","",NA
"202","Interest Coverage","X2009.09",NA,"2009","09","",NA
"203","Year over Year","X2009.09",-32.22,"2009","09","-32.22",-32.22
"204","3-Year Average","X2009.09",-7.71,"2009","09","-7.71",-7.71
"205","5-Year Average","X2009.09",3.85,"2009","09","3.85",3.85
"206","10-Year Average","X2009.09",4.67,"2009","09","4.67",4.67
"207","Year over Year","X2009.09",58.34,"2009","09","58.34",58.34
"208","3-Year Average","X2009.09",-11.85,"2009","09","-11.85",-11.85
"209","5-Year Average","X2009.09",1,"2009","09","1.00",1
"210","10-Year Average","X2009.09",1.87,"2009","09","1.87",1.87
"211","Year over Year","X2009.09",-42.92,"2009","09","-42.92",-42.92
"212","3-Year Average","X2009.09",-16.15,"2009","09","-16.15",-16.15
"213","5-Year Average","X2009.09",-4.01,"2009","09","-4.01",-4.01
"214","10-Year Average","X2009.09",-0.85,"2009","09","-0.85",-0.85
"215","Year over Year","X2009.09",-53.05,"2009","09","-53.05",-53.05
"216","3-Year Average","X2009.09",-22.37,"2009","09","-22.37",-22.37
"217","5-Year Average","X2009.09",-8.98,"2009","09","-8.98",-8.98
"218","10-Year Average","X2009.09",-3.86,"2009","09","-3.86",-3.86
