"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue AUD Mil","X2007.06",16343000000,"2007","06","16,343",16343
"2","Gross Margin %","X2007.06",NA,"2007","06","",NA
"3","Operating Income AUD Mil","X2007.06",6538000000,"2007","06","6,538",6538
"4","Operating Margin %","X2007.06",0.4,"2007","06","40.0",40
"5","Net Income AUD Mil","X2007.06",4470000000,"2007","06","4,470",4470
"6","Earnings Per Share AUD","X2007.06",3.38,"2007","06","3.38",3.38
"7","Dividends AUD","X2007.06",NA,"2007","06","",NA
"8","Payout Ratio % *","X2007.06",NA,"2007","06","",NA
"9","Shares Mil","X2007.06",1307000000,"2007","06","1,307",1307
"10","Book Value Per Share * AUD","X2007.06",NA,"2007","06","",NA
"11","Operating Cash Flow AUD Mil","X2007.06",5641000000,"2007","06","5,641",5641
"12","Cap Spending AUD Mil","X2007.06",-1244000000,"2007","06","-1,244",-1244
"13","Free Cash Flow AUD Mil","X2007.06",4397000000,"2007","06","4,397",4397
"14","Free Cash Flow Per Share * AUD","X2007.06",NA,"2007","06","",NA
"15","Working Capital AUD Mil","X2007.06",NA,"2007","06","",NA
"16","Revenue","X2007.06",100,"2007","06","100.00",100
"17","COGS","X2007.06",NA,"2007","06","",NA
"18","Gross Margin","X2007.06",NA,"2007","06","",NA
"19","SG&A","X2007.06",27.2,"2007","06","27.20",27.2
"20","R&D","X2007.06",NA,"2007","06","",NA
"21","Other","X2007.06",30.14,"2007","06","30.14",30.14
"22","Operating Margin","X2007.06",40,"2007","06","40.00",40
"23","Net Int Inc & Other","X2007.06",-2.66,"2007","06","-2.66",-2.66
"24","EBT Margin","X2007.06",40,"2007","06","40.00",40
"25","Tax Rate %","X2007.06",0.3122,"2007","06","31.22",31.22
"26","Net Margin %","X2007.06",0.2701,"2007","06","27.01",27.01
"27","Asset Turnover (Average)","X2007.06",0.04,"2007","06","0.04",0.04
"28","Return on Assets %","X2007.06",0.0111,"2007","06","1.11",1.11
"29","Financial Leverage (Average)","X2007.06",18.49,"2007","06","18.49",18.49
"30","Return on Equity %","X2007.06",0.2059,"2007","06","20.59",20.59
"31","Return on Invested Capital %","X2007.06",NA,"2007","06","",NA
"32","Interest Coverage","X2007.06",NA,"2007","06","",NA
"33","Year over Year","X2007.06",6.68,"2007","06","6.68",6.68
"34","3-Year Average","X2007.06",5.29,"2007","06","5.29",5.29
"35","5-Year Average","X2007.06",12.5,"2007","06","12.50",12.5
"36","10-Year Average","X2007.06",12.61,"2007","06","12.61",12.61
"37","Year over Year","X2007.06",11.59,"2007","06","11.59",11.59
"38","3-Year Average","X2007.06",19.38,"2007","06","19.38",19.38
"39","5-Year Average","X2007.06",12.85,"2007","06","12.85",12.85
"40","10-Year Average","X2007.06",15,"2007","06","15.00",15
"41","Year over Year","X2007.06",13.8,"2007","06","13.80",13.8
"42","3-Year Average","X2007.06",20.23,"2007","06","20.23",20.23
"43","5-Year Average","X2007.06",10.98,"2007","06","10.98",10.98
"44","10-Year Average","X2007.06",15.28,"2007","06","15.28",15.28
"45","Year over Year","X2007.06",10.22,"2007","06","10.22",10.22
"46","3-Year Average","X2007.06",19.96,"2007","06","19.96",19.96
"47","5-Year Average","X2007.06",10.17,"2007","06","10.17",10.17
"48","10-Year Average","X2007.06",11.2,"2007","06","11.20",11.2
"49","Operating Cash Flow Growth % YOY","X2007.06",NA,"2007","06","",NA
"50","Free Cash Flow Growth % YOY","X2007.06",NA,"2007","06","",NA
"51","Cap Ex as a % of Sales","X2007.06",0.0761,"2007","06","7.61",7.61
"52","Free Cash Flow/Sales %","X2007.06",0.269,"2007","06","26.90",26.9
"53","Free Cash Flow/Net Income","X2007.06",0.98,"2007","06","0.98",0.98
"54","Cash & Short-Term Investments","X2007.06",3.67,"2007","06","3.67",3.67
"55","Accounts Receivable","X2007.06",NA,"2007","06","",NA
"56","Inventory","X2007.06",NA,"2007","06","",NA
"57","Other Current Assets","X2007.06",NA,"2007","06","",NA
"58","Total Current Assets","X2007.06",NA,"2007","06","",NA
"59","Net PP&E","X2007.06",0.34,"2007","06","0.34",0.34
"60","Intangibles","X2007.06",1.84,"2007","06","1.84",1.84
"61","Other Long-Term Assets","X2007.06",NA,"2007","06","",NA
"62","Total Assets","X2007.06",100,"2007","06","100.00",100
"63","Accounts Payable","X2007.06",1.73,"2007","06","1.73",1.73
"64","Short-Term Debt","X2007.06",27.9,"2007","06","27.90",27.9
"65","Taxes Payable","X2007.06",NA,"2007","06","",NA
"66","Accrued Liabilities","X2007.06",NA,"2007","06","",NA
"67","Other Short-Term Liabilities","X2007.06",NA,"2007","06","",NA
"68","Total Current Liabilities","X2007.06",NA,"2007","06","",NA
"69","Long-Term Debt","X2007.06",NA,"2007","06","",NA
"70","Other Long-Term Liabilities","X2007.06",NA,"2007","06","",NA
"71","Total Liabilities","X2007.06",94.37,"2007","06","94.37",94.37
"72","Total Stockholders' Equity","X2007.06",5.63,"2007","06","5.63",5.63
"73","Total Liabilities & Equity","X2007.06",100,"2007","06","100.00",100
"74","Current Ratio","X2007.06",NA,"2007","06","",NA
"75","Quick Ratio","X2007.06",NA,"2007","06","",NA
"76","Financial Leverage","X2007.06",18.49,"2007","06","18.49",18.49
"77","Debt/Equity","X2007.06",NA,"2007","06","",NA
"78","Days Sales Outstanding","X2007.06",NA,"2007","06","",NA
"79","Days Inventory","X2007.06",NA,"2007","06","",NA
"80","Payables Period","X2007.06",NA,"2007","06","",NA
"81","Cash Conversion Cycle","X2007.06",NA,"2007","06","",NA
"82","Receivables Turnover","X2007.06",NA,"2007","06","",NA
"83","Inventory Turnover","X2007.06",NA,"2007","06","",NA
"84","Fixed Assets Turnover","X2007.06",11.89,"2007","06","11.89",11.89
"85","Asset Turnover","X2007.06",0.04,"2007","06","0.04",0.04
"86","Revenue AUD Mil","X2008.06",14656000000,"2008","06","14,656",14656
"87","Gross Margin %","X2008.06",NA,"2008","06","",NA
"88","Operating Income AUD Mil","X2008.06",6255000000,"2008","06","6,255",6255
"89","Operating Margin %","X2008.06",0.427,"2008","06","42.7",42.7
"90","Net Income AUD Mil","X2008.06",4791000000,"2008","06","4,791",4791
"91","Earnings Per Share AUD","X2008.06",3.47,"2008","06","3.47",3.47
"92","Dividends AUD","X2008.06",NA,"2008","06","",NA
"93","Payout Ratio % *","X2008.06",NA,"2008","06","",NA
"94","Shares Mil","X2008.06",1368000000,"2008","06","1,368",1368
"95","Book Value Per Share * AUD","X2008.06",NA,"2008","06","",NA
"96","Operating Cash Flow AUD Mil","X2008.06",-2075000000,"2008","06","-2,075",-2075
"97","Cap Spending AUD Mil","X2008.06",-949000000,"2008","06","-949",-949
"98","Free Cash Flow AUD Mil","X2008.06",-3024000000,"2008","06","-3,024",-3024
"99","Free Cash Flow Per Share * AUD","X2008.06",NA,"2008","06","",NA
"100","Working Capital AUD Mil","X2008.06",NA,"2008","06","",NA
"101","Revenue","X2008.06",100,"2008","06","100.00",100
"102","COGS","X2008.06",NA,"2008","06","",NA
"103","Gross Margin","X2008.06",NA,"2008","06","",NA
"104","SG&A","X2008.06",35.11,"2008","06","35.11",35.11
"105","R&D","X2008.06",NA,"2008","06","",NA
"106","Other","X2008.06",15.87,"2008","06","15.87",15.87
"107","Operating Margin","X2008.06",42.68,"2008","06","42.68",42.68
