"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue CNY Mil","X2007.12",191372000000,"2007","12","191,372",191372
"2","Gross Margin %","X2007.12",NA,"2007","12","",NA
"3","Operating Income CNY Mil","X2007.12",44982000000,"2007","12","44,982",44982
"4","Operating Margin %","X2007.12",0.235,"2007","12","23.5",23.5
"5","Net Income CNY Mil","X2007.12",38879000000,"2007","12","38,879",38879
"6","Earnings Per Share CNY","X2007.12",6.9,"2007","12","6.90",6.9
"7","Dividends CNY","X2007.12",0.69,"2007","12","0.69",0.69
"8","Payout Ratio % *","X2007.12",0.101,"2007","12","10.1",10.1
"9","Shares Mil","X2007.12",5653000000,"2007","12","5,653",5653
"10","Book Value Per Share * CNY","X2007.12",4.98,"2007","12","4.98",4.98
"11","Operating Cash Flow CNY Mil","X2007.12",122854000000,"2007","12","122,854",122854
"12","Cap Spending CNY Mil","X2007.12",-3177000000,"2007","12","-3,177",-3177
"13","Free Cash Flow CNY Mil","X2007.12",119677000000,"2007","12","119,677",119677
"14","Free Cash Flow Per Share * CNY","X2007.12",2.91,"2007","12","2.91",2.91
"15","Working Capital CNY Mil","X2007.12",NA,"2007","12","",NA
"16","Revenue","X2007.12",100,"2007","12","100.00",100
"17","COGS","X2007.12",NA,"2007","12","",NA
"18","Gross Margin","X2007.12",NA,"2007","12","",NA
"19","SG&A","X2007.12",6.16,"2007","12","6.16",6.16
"20","R&D","X2007.12",NA,"2007","12","",NA
"21","Other","X2007.12",70.33,"2007","12","70.33",70.33
"22","Operating Margin","X2007.12",23.51,"2007","12","23.51",23.51
"23","Net Int Inc & Other","X2007.12",0.21,"2007","12","0.21",0.21
"24","EBT Margin","X2007.12",23.72,"2007","12","23.72",23.72
"25","Tax Rate %","X2007.12",0.1395,"2007","12","13.95",13.95
"26","Net Margin %","X2007.12",0.2032,"2007","12","20.32",20.32
"27","Asset Turnover (Average)","X2007.12",0.23,"2007","12","0.23",0.23
"28","Return on Assets %","X2007.12",0.0458,"2007","12","4.58",4.58
"29","Financial Leverage (Average)","X2007.12",4.54,"2007","12","4.54",4.54
"30","Return on Equity %","X2007.12",0.2253,"2007","12","22.53",22.53
"31","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"32","Interest Coverage","X2007.12",NA,"2007","12","",NA
"33","Year over Year","X2007.12",29.91,"2007","12","29.91",29.91
"34","3-Year Average","X2007.12",35.57,"2007","12","35.57",35.57
"35","5-Year Average","X2007.12",20.83,"2007","12","20.83",20.83
"36","10-Year Average","X2007.12",NA,"2007","12","",NA
"37","Year over Year","X2007.12",75.68,"2007","12","75.68",75.68
"38","3-Year Average","X2007.12",67.9,"2007","12","67.90",67.9
"39","5-Year Average","X2007.12",NA,"2007","12","",NA
"40","10-Year Average","X2007.12",NA,"2007","12","",NA
"41","Year over Year","X2007.12",94.8,"2007","12","94.80",94.8
"42","3-Year Average","X2007.12",75.95,"2007","12","75.95",75.95
"43","5-Year Average","X2007.12",NA,"2007","12","",NA
"44","10-Year Average","X2007.12",NA,"2007","12","",NA
"45","Year over Year","X2007.12",84,"2007","12","84.00",84
"46","3-Year Average","X2007.12",72.24,"2007","12","72.24",72.24
"47","5-Year Average","X2007.12",NA,"2007","12","",NA
"48","10-Year Average","X2007.12",NA,"2007","12","",NA
"49","Operating Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"50","Free Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"51","Cap Ex as a % of Sales","X2007.12",0.0166,"2007","12","1.66",1.66
"52","Free Cash Flow/Sales %","X2007.12",0.6254,"2007","12","62.54",62.54
"53","Free Cash Flow/Net Income","X2007.12",3.08,"2007","12","3.08",3.08
"54","Cash & Short-Term Investments","X2007.12",2.71,"2007","12","2.71",2.71
"55","Accounts Receivable","X2007.12",0.67,"2007","12","0.67",0.67
"56","Inventory","X2007.12",NA,"2007","12","",NA
"57","Other Current Assets","X2007.12",NA,"2007","12","",NA
"58","Total Current Assets","X2007.12",NA,"2007","12","",NA
"59","Net PP&E","X2007.12",1.8,"2007","12","1.80",1.8
"60","Intangibles","X2007.12",NA,"2007","12","",NA
"61","Other Long-Term Assets","X2007.12",NA,"2007","12","",NA
"62","Total Assets","X2007.12",100,"2007","12","100.00",100
"63","Accounts Payable","X2007.12",8.66,"2007","12","8.66",8.66
"64","Short-Term Debt","X2007.12",NA,"2007","12","",NA
"65","Taxes Payable","X2007.12",0.89,"2007","12","0.89",0.89
"66","Accrued Liabilities","X2007.12",NA,"2007","12","",NA
"67","Other Short-Term Liabilities","X2007.12",NA,"2007","12","",NA
"68","Total Current Liabilities","X2007.12",NA,"2007","12","",NA
"69","Long-Term Debt","X2007.12",NA,"2007","12","",NA
"70","Other Long-Term Liabilities","X2007.12",NA,"2007","12","",NA
"71","Total Liabilities","X2007.12",77.97,"2007","12","77.97",77.97
"72","Total Stockholders' Equity","X2007.12",22.03,"2007","12","22.03",22.03
"73","Total Liabilities & Equity","X2007.12",100,"2007","12","100.00",100
"74","Current Ratio","X2007.12",NA,"2007","12","",NA
"75","Quick Ratio","X2007.12",NA,"2007","12","",NA
"76","Financial Leverage","X2007.12",4.54,"2007","12","4.54",4.54
"77","Debt/Equity","X2007.12",NA,"2007","12","",NA
"78","Days Sales Outstanding","X2007.12",NA,"2007","12","",NA
"79","Days Inventory","X2007.12",NA,"2007","12","",NA
"80","Payables Period","X2007.12",NA,"2007","12","",NA
"81","Cash Conversion Cycle","X2007.12",NA,"2007","12","",NA
"82","Receivables Turnover","X2007.12",NA,"2007","12","",NA
"83","Inventory Turnover","X2007.12",NA,"2007","12","",NA
"84","Fixed Assets Turnover","X2007.12",12.21,"2007","12","12.21",12.21
"85","Asset Turnover","X2007.12",0.23,"2007","12","0.23",0.23
"86","Revenue CNY Mil","X2008.12",300385000000,"2008","12","300,385",300385
"87","Gross Margin %","X2008.12",NA,"2008","12","",NA
"88","Operating Income CNY Mil","X2008.12",20015000000,"2008","12","20,015",20015
"89","Operating Margin %","X2008.12",0.067,"2008","12","6.7",6.7
"90","Net Income CNY Mil","X2008.12",19137000000,"2008","12","19,137",19137
"91","Earnings Per Share CNY","X2008.12",3.4,"2008","12","3.40",3.4
"92","Dividends CNY","X2008.12",2.05,"2008","12","2.05",2.05
"93","Payout Ratio % *","X2008.12",0.546,"2008","12","54.6",54.6
"94","Shares Mil","X2008.12",5653000000,"2008","12","5,653",5653
"95","Book Value Per Share * CNY","X2008.12",4.68,"2008","12","4.68",4.68
"96","Operating Cash Flow CNY Mil","X2008.12",84779000000,"2008","12","84,779",84779
"97","Cap Spending CNY Mil","X2008.12",-2825000000,"2008","12","-2,825",-2825
"98","Free Cash Flow CNY Mil","X2008.12",81954000000,"2008","12","81,954",81954
"99","Free Cash Flow Per Share * CNY","X2008.12",2.24,"2008","12","2.24",2.24
"100","Working Capital CNY Mil","X2008.12",NA,"2008","12","",NA
"101","Revenue","X2008.12",100,"2008","12","100.00",100
"102","COGS","X2008.12",NA,"2008","12","",NA
"103","Gross Margin","X2008.12",NA,"2008","12","",NA
"104","SG&A","X2008.12",5.54,"2008","12","5.54",5.54
"105","R&D","X2008.12",NA,"2008","12","",NA
"106","Other","X2008.12",87.79,"2008","12","87.79",87.79
"107","Operating Margin","X2008.12",6.66,"2008","12","6.66",6.66
"108","Net Int Inc & Other","X2008.12",-0.02,"2008","12","-0.02",-0.02
"109","EBT Margin","X2008.12",6.64,"2008","12","6.64",6.64
"110","Tax Rate %","X2008.12",0.061,"2008","12","6.10",6.1
"111","Net Margin %","X2008.12",0.1276,"2008","12","12.76",12.76
"112","Asset Turnover (Average)","X2008.12",0.17,"2008","12","0.17",0.17
"113","Return on Assets %","X2008.12",0.0215,"2008","12","2.15",2.15
"114","Financial Leverage (Average)","X2008.12",5.78,"2008","12","5.78",5.78
"115","Return on Equity %","X2008.12",0.1102,"2008","12","11.02",11.02
"116","Return on Invested Capital %","X2008.12",NA,"2008","12","",NA
"117","Interest Coverage","X2008.12",NA,"2008","12","",NA
"118","Year over Year","X2008.12",-12.83,"2008","12","-12.83",-12.83
"119","3-Year Average","X2008.12",19.31,"2008","12","19.31",19.31
"120","5-Year Average","X2008.12",16.16,"2008","12","16.16",16.16
"121","10-Year Average","X2008.12",NA,"2008","12","",NA
"122","Year over Year","X2008.12",-49.81,"2008","12","-49.81",-49.81
"123","3-Year Average","X2008.12",25.18,"2008","12","25.18",25.18
"124","5-Year Average","X2008.12",NA,"2008","12","",NA
"125","10-Year Average","X2008.12",NA,"2008","12","",NA
"126","Year over Year","X2008.12",-45.53,"2008","12","-45.53",-45.53
"127","3-Year Average","X2008.12",31.46,"2008","12","31.46",31.46
"128","5-Year Average","X2008.12",NA,"2008","12","",NA
"129","10-Year Average","X2008.12",NA,"2008","12","",NA
"130","Year over Year","X2008.12",-45.65,"2008","12","-45.65",-45.65
"131","3-Year Average","X2008.12",28.91,"2008","12","28.91",28.91
"132","5-Year Average","X2008.12",NA,"2008","12","",NA
"133","10-Year Average","X2008.12",NA,"2008","12","",NA
"134","Operating Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"135","Free Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"136","Cap Ex as a % of Sales","X2008.12",0.0094,"2008","12","0.94",0.94
"137","Free Cash Flow/Sales %","X2008.12",0.2728,"2008","12","27.28",27.28
"138","Free Cash Flow/Net Income","X2008.12",4.28,"2008","12","4.28",4.28
"139","Cash & Short-Term Investments","X2008.12",25.11,"2008","12","25.11",25.11
"140","Accounts Receivable","X2008.12",0.62,"2008","12","0.62",0.62
"141","Inventory","X2008.12",NA,"2008","12","",NA
"142","Other Current Assets","X2008.12",NA,"2008","12","",NA
"143","Total Current Assets","X2008.12",NA,"2008","12","",NA
"144","Net PP&E","X2008.12",1.74,"2008","12","1.74",1.74
"145","Intangibles","X2008.12",NA,"2008","12","",NA
"146","Other Long-Term Assets","X2008.12",NA,"2008","12","",NA
"147","Total Assets","X2008.12",100,"2008","12","100.00",100
"148","Accounts Payable","X2008.12",5.27,"2008","12","5.27",5.27
"149","Short-Term Debt","X2008.12",NA,"2008","12","",NA
"150","Taxes Payable","X2008.12",0.16,"2008","12","0.16",0.16
"151","Accrued Liabilities","X2008.12",NA,"2008","12","",NA
"152","Other Short-Term Liabilities","X2008.12",NA,"2008","12","",NA
"153","Total Current Liabilities","X2008.12",NA,"2008","12","",NA
"154","Long-Term Debt","X2008.12",NA,"2008","12","",NA
"155","Other Long-Term Liabilities","X2008.12",NA,"2008","12","",NA
"156","Total Liabilities","X2008.12",82.71,"2008","12","82.71",82.71
"157","Total Stockholders' Equity","X2008.12",17.29,"2008","12","17.29",17.29
"158","Total Liabilities & Equity","X2008.12",100,"2008","12","100.00",100
"159","Current Ratio","X2008.12",NA,"2008","12","",NA
"160","Quick Ratio","X2008.12",NA,"2008","12","",NA
"161","Financial Leverage","X2008.12",5.78,"2008","12","5.78",5.78
"162","Debt/Equity","X2008.12",NA,"2008","12","",NA
"163","Days Sales Outstanding","X2008.12",NA,"2008","12","",NA
"164","Days Inventory","X2008.12",NA,"2008","12","",NA
"165","Payables Period","X2008.12",NA,"2008","12","",NA
"166","Cash Conversion Cycle","X2008.12",NA,"2008","12","",NA
"167","Receivables Turnover","X2008.12",NA,"2008","12","",NA
"168","Inventory Turnover","X2008.12",NA,"2008","12","",NA
"169","Fixed Assets Turnover","X2008.12",9.55,"2008","12","9.55",9.55
"170","Asset Turnover","X2008.12",0.17,"2008","12","0.17",0.17
"171","Revenue CNY Mil","X2009.12",339290000000,"2009","12","339,290",339290
"172","Gross Margin %","X2009.12",NA,"2009","12","",NA
"173","Operating Income CNY Mil","X2009.12",41041000000,"2009","12","41,041",41041
"174","Operating Margin %","X2009.12",0.121,"2009","12","12.1",12.1
"175","Net Income CNY Mil","X2009.12",32881000000,"2009","12","32,881",32881
