"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue USD Mil","X2007.12",110064000000,"2007","12","110,064",110064
"2","Gross Margin %","X2007.12",NA,"2007","12","",NA
"3","Operating Income USD Mil","X2007.12",8943000000,"2007","12","8,943",8943
"4","Operating Margin %","X2007.12",0.081,"2007","12","8.1",8.1
"5","Net Income USD Mil","X2007.12",6200000000,"2007","12","6,200",6200
"6","Earnings Per Share USD","X2007.12",47.8,"2007","12","47.80",47.8
"7","Dividends USD","X2007.12",14.6,"2007","12","14.60",14.6
"8","Payout Ratio % *","X2007.12",0.305,"2007","12","30.5",30.5
"9","Shares Mil","X2007.12",130000000,"2007","12","130",130
"10","Book Value Per Share * USD","X2007.12",757.44,"2007","12","757.44",757.44
"11","Operating Cash Flow USD Mil","X2007.12",35171000000,"2007","12","35,171",35171
"12","Cap Spending USD Mil","X2007.12",-5642000000,"2007","12","-5,642",-5642
"13","Free Cash Flow USD Mil","X2007.12",29529000000,"2007","12","29,529",29529
"14","Free Cash Flow Per Share * USD","X2007.12",227.32,"2007","12","227.32",227.32
"15","Working Capital USD Mil","X2007.12",NA,"2007","12","",NA
"16","Revenue","X2007.12",100,"2007","12","100.00",100
"17","COGS","X2007.12",NA,"2007","12","",NA
"18","Gross Margin","X2007.12",NA,"2007","12","",NA
"19","SG&A","X2007.12",NA,"2007","12","",NA
"20","R&D","X2007.12",NA,"2007","12","",NA
"21","Other","X2007.12",91.87,"2007","12","91.87",91.87
"22","Operating Margin","X2007.12",8.13,"2007","12","8.13",8.13
"23","Net Int Inc & Other","X2007.12",NA,"2007","12","",NA
"24","EBT Margin","X2007.12",8.13,"2007","12","8.13",8.13
"25","Tax Rate %","X2007.12",0.1627,"2007","12","16.27",16.27
"26","Net Margin %","X2007.12",0.0563,"2007","12","5.63",5.63
"27","Asset Turnover (Average)","X2007.12",0.11,"2007","12","0.11",0.11
"28","Return on Assets %","X2007.12",0.0061,"2007","12","0.61",0.61
"29","Financial Leverage (Average)","X2007.12",11.07,"2007","12","11.07",11.07
"30","Return on Equity %","X2007.12",0.0628,"2007","12","6.28",6.28
"31","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"32","Interest Coverage","X2007.12",NA,"2007","12","",NA
"33","Year over Year","X2007.12",-2.77,"2007","12","-2.77",-2.77
"34","3-Year Average","X2007.12",3.95,"2007","12","3.95",3.95
"35","5-Year Average","X2007.12",10.28,"2007","12","10.28",10.28
"36","10-Year Average","X2007.12",22.55,"2007","12","22.55",22.55
"37","Year over Year","X2007.12",-58.76,"2007","12","-58.76",-58.76
"38","3-Year Average","X2007.12",-15.74,"2007","12","-15.74",-15.74
"39","5-Year Average","X2007.12",1.89,"2007","12","1.89",1.89
"40","10-Year Average","X2007.12",8.26,"2007","12","8.26",8.26
"41","Year over Year","X2007.12",-55.87,"2007","12","-55.87",-55.87
"42","3-Year Average","X2007.12",-13.95,"2007","12","-13.95",-13.95
"43","5-Year Average","X2007.12",2.35,"2007","12","2.35",2.35
"44","10-Year Average","X2007.12",6.41,"2007","12","6.41",6.41
"45","Year over Year","X2007.12",-55.41,"2007","12","-55.41",-55.41
"46","3-Year Average","X2007.12",-13.48,"2007","12","-13.48",-13.48
"47","5-Year Average","X2007.12",2.62,"2007","12","2.62",2.62
"48","10-Year Average","X2007.12",3.58,"2007","12","3.58",3.58
"49","Operating Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"50","Free Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"51","Cap Ex as a % of Sales","X2007.12",0.0513,"2007","12","5.13",5.13
"52","Free Cash Flow/Sales %","X2007.12",0.2683,"2007","12","26.83",26.83
"53","Free Cash Flow/Net Income","X2007.12",4.76,"2007","12","4.76",4.76
"54","Cash & Short-Term Investments","X2007.12",5.06,"2007","12","5.06",5.06
"55","Accounts Receivable","X2007.12",1.73,"2007","12","1.73",1.73
"56","Inventory","X2007.12",NA,"2007","12","",NA
"57","Other Current Assets","X2007.12",NA,"2007","12","",NA
"58","Total Current Assets","X2007.12",NA,"2007","12","",NA
"59","Net PP&E","X2007.12",0.52,"2007","12","0.52",0.52
"60","Intangibles","X2007.12",0.89,"2007","12","0.89",0.89
"61","Other Long-Term Assets","X2007.12",NA,"2007","12","",NA
"62","Total Assets","X2007.12",100,"2007","12","100.00",100
"63","Accounts Payable","X2007.12",10.38,"2007","12","10.38",10.38
