"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue USD Mil","X2007.12",55285000000,"2007","12","55,285",55285
"2","Gross Margin %","X2007.12",NA,"2007","12","",NA
"3","Operating Income USD Mil","X2007.12",7587000000,"2007","12","7,587",7587
"4","Operating Margin %","X2007.12",0.137,"2007","12","13.7",13.7
"5","Net Income USD Mil","X2007.12",5797000000,"2007","12","5,797",5797
"6","Earnings Per Share USD","X2007.12",3.92,"2007","12","3.92",3.92
"7","Dividends USD","X2007.12",NA,"2007","12","",NA
"8","Payout Ratio % *","X2007.12",NA,"2007","12","",NA
"9","Shares Mil","X2007.12",1443000000,"2007","12","1,443",1443
"10","Book Value Per Share * USD","X2007.12",19.52,"2007","12","19.52",19.52
"11","Operating Cash Flow USD Mil","X2007.12",-1580000000,"2007","12","-1,580",-1580
"12","Cap Spending USD Mil","X2007.12",-338000000,"2007","12","-338",-338
"13","Free Cash Flow USD Mil","X2007.12",-1918000000,"2007","12","-1,918",-1918
"14","Free Cash Flow Per Share * USD","X2007.12",-1.33,"2007","12","-1.33",-1.33
"15","Working Capital USD Mil","X2007.12",NA,"2007","12","",NA
"16","Revenue","X2007.12",100,"2007","12","100.00",100
"17","COGS","X2007.12",NA,"2007","12","",NA
"18","Gross Margin","X2007.12",NA,"2007","12","",NA
"19","SG&A","X2007.12",12.08,"2007","12","12.08",12.08
"20","R&D","X2007.12",NA,"2007","12","",NA
"21","Other","X2007.12",74.2,"2007","12","74.20",74.2
"22","Operating Margin","X2007.12",13.72,"2007","12","13.72",13.72
"23","Net Int Inc & Other","X2007.12",NA,"2007","12","",NA
"24","EBT Margin","X2007.12",13.72,"2007","12","13.72",13.72
"25","Tax Rate %","X2007.12",0.2384,"2007","12","23.84",23.84
"26","Net Margin %","X2007.12",0.102,"2007","12","10.20",10.2
"27","Asset Turnover (Average)","X2007.12",0.14,"2007","12","0.14",0.14
"28","Return on Assets %","X2007.12",0.0147,"2007","12","1.47",1.47
"29","Financial Leverage (Average)","X2007.12",14.28,"2007","12","14.28",14.28
"30","Return on Equity %","X2007.12",0.2185,"2007","12","21.85",21.85
"31","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"32","Interest Coverage","X2007.12",NA,"2007","12","",NA
"33","Year over Year","X2007.12",-15.13,"2007","12","-15.13",-15.13
"34","3-Year Average","X2007.12",-2.59,"2007","12","-2.59",-2.59
"35","5-Year Average","X2007.12",6.4,"2007","12","6.40",6.4
"36","10-Year Average","X2007.12",NA,"2007","12","",NA
"37","Year over Year","X2007.12",11.32,"2007","12","11.32",11.32
"38","3-Year Average","X2007.12",25.56,"2007","12","25.56",25.56
"39","5-Year Average","X2007.12",NA,"2007","12","",NA
"40","10-Year Average","X2007.12",NA,"2007","12","",NA
"41","Year over Year","X2007.12",23.42,"2007","12","23.42",23.42
"42","3-Year Average","X2007.12",30.19,"2007","12","30.19",30.19
"43","5-Year Average","X2007.12",NA,"2007","12","",NA
"44","10-Year Average","X2007.12",NA,"2007","12","",NA
